epoch,train_loss,train_auc,train_f1,train_recall,train_brier,val_loss,val_auc,val_f1,val_recall,val_brier
1,2.229862783988223,0.5131884866662018,0.24455958549222798,1.0,0.8576861605048067,2.0764715961329845,0.32779156327543424,0.25120772946859904,1.0,0.8536288100991604
2,0.7650516095099511,0.4842830903722304,0.0,0.0,0.19343296094034232,0.8164360098417293,0.38511166253101736,0.0,0.0,0.20079206416323836
3,0.790809020312083,0.540152519123015,0.0,0.0,0.12398539693678447,0.9057730660254125,0.35359801488833753,0.0,0.0,0.13385472193479145
4,0.7816772318787107,0.6405803166631793,0.0,0.0,0.11692286290237695,0.9799261794564473,0.4146401985111662,0.0,0.0,0.1321241035737904
5,0.7261177451298115,0.6762804863872033,0.0,0.0,0.11389931718723456,1.0138226991200316,0.45732009925558315,0.0,0.0,0.13364841352703077
6,0.6568259852976839,0.709481295482551,0.0,0.0,0.11584439396528358,0.8966903225493036,0.5513647642679901,0.0,0.0,0.12970305488557976
7,0.6416457988576878,0.6955081258282765,0.0,0.0,0.13622628476578705,0.8493953982769455,0.5436724565756824,0.0,0.0,0.1465362710848722
8,0.6229515344502653,0.6933458882611425,0.10810810810810811,0.06779661016949153,0.16173657376459577,0.8446811184040091,0.547394540942928,0.06666666666666667,0.038461538461538464,0.17082749259116137
9,0.5723734319984138,0.7592127595266327,0.25609756097560976,0.17796610169491525,0.15286914572097807,0.8379019050966969,0.5543424317617867,0.06666666666666667,0.038461538461538464,0.16630486773128933
10,0.5204672078033546,0.8081421031829068,0.2981366459627329,0.2033898305084746,0.1353162348760746,0.8539354712264973,0.5652605459057072,0.0,0.0,0.1570752682594981
11,0.46887223142800677,0.8659063960382227,0.4406779661016949,0.3305084745762712,0.12981270905191727,0.8678698638526116,0.524317617866005,0.0,0.0,0.1636596101009629
12,0.4499779325308456,0.8789611959731233,0.5245901639344263,0.5423728813559322,0.14537690709978815,0.8694809444701475,0.5084367245657568,0.04081632653061224,0.038461538461538464,0.18770351236490843
13,0.41207476324427084,0.8902606310013718,0.550185873605948,0.6271186440677966,0.14298627431682467,0.8742398771133212,0.5521091811414391,0.07272727272727272,0.07692307692307693,0.1862885386156151
14,0.3646509173417457,0.9263211736532516,0.6188925081433225,0.8050847457627118,0.144664799546516,0.8897350562211558,0.5759305210918114,0.12121212121212122,0.15384615384615385,0.18917656500014865
15,0.3486954982897185,0.9428053288693591,0.6467065868263473,0.9152542372881356,0.14517615288266983,0.8944109424701712,0.5449131513647643,0.11428571428571428,0.15384615384615385,0.1980344947867705
16,0.3270804428505363,0.95920810955337,0.6815286624203821,0.9067796610169492,0.13346865615790132,0.9008306258291171,0.49156327543424316,0.08955223880597014,0.11538461538461539,0.20036717799064668
17,0.297820256479797,0.9753086419753086,0.7084639498432602,0.9576271186440678,0.13018403255324645,0.9207134424652184,0.4898263027295286,0.03333333333333333,0.038461538461538464,0.20223209325137248
18,0.27164433799780807,0.9829229731929042,0.6824925816023739,0.9745762711864406,0.1313406873808584,0.9282187714102519,0.5129032258064516,0.08333333333333333,0.11538461538461539,0.21080524052717825
19,0.2596198534669955,0.9944781567505987,0.6464088397790055,0.9915254237288136,0.1377249742031632,0.9305302128607397,0.5146401985111662,0.12658227848101267,0.19230769230769232,0.21792681374724385
20,0.23453239399891396,0.9965590197856362,0.7065868263473054,1.0,0.12157374569927767,0.9291042194840657,0.5101736972704716,0.029411764705882353,0.038461538461538464,0.20897978819473814
21,0.21309131114724958,0.9986515077538305,0.7375,1.0,0.11304194659849703,0.9395809558873677,0.486848635235732,0.03225806451612903,0.038461538461538464,0.20405420473442812
22,0.19137358632039855,0.999139754946409,0.7840531561461794,1.0,0.09732360950199968,0.9410897951099754,0.5280397022332506,0.03773584905660377,0.038461538461538464,0.18715308607931938
23,0.15741256160888087,0.9997558764037107,0.8489208633093526,1.0,0.07965348361998843,0.9465696910468254,0.5436724565756824,0.041666666666666664,0.038461538461538464,0.17225614588415394
24,0.14519126178452652,0.9998837506684337,0.8489208633093526,1.0,0.07526552681104262,0.9432577405186647,0.5531017369727047,0.08333333333333333,0.07692307692307693,0.17011472020840857
25,0.1647482671485741,0.9999186254679036,0.7814569536423841,1.0,0.09577300987053065,0.9580057971385303,0.5059553349875932,0.1016949152542373,0.11538461538461539,0.19376757085644794
26,0.1315885024516895,0.9999883750668435,0.8676470588235294,1.0,0.06892024848005858,0.9659514084705332,0.5109181141439206,0.043478260869565216,0.038461538461538464,0.17030340643354253
27,0.12214867660716405,1.0,0.8773234200743495,1.0,0.06320762301542662,0.9599230434354498,0.5320099255583126,0.044444444444444446,0.038461538461538464,0.16725300962728806
28,0.12338449259716336,1.0,0.8773234200743495,1.0,0.06644779299401547,0.9628488194217998,0.5253101736972705,0.044444444444444446,0.038461538461538464,0.1687589131891539
29,0.1029501757205166,1.0,0.9182879377431906,1.0,0.0528249928516547,0.9713761668178916,0.5387096774193548,0.045454545454545456,0.038461538461538464,0.15808516638979161
30,0.097435113891449,1.0,0.9147286821705426,1.0,0.05128505884676875,0.9851570485046556,0.5203473945409429,0.044444444444444446,0.038461538461538464,0.16031316103997165
31,0.10083189051611505,1.0,0.9111969111969112,1.0,0.05624985884301351,0.9849236130055802,0.5277915632754343,0.043478260869565216,0.038461538461538464,0.16174970041171569
32,0.0984963852089721,1.0,0.9076923076923077,1.0,0.0566012566238352,0.9892374481285474,0.5099255583126551,0.044444444444444446,0.038461538461538464,0.1634277131454724
33,0.10422766889492764,1.0,0.8872180451127819,1.0,0.06316244771247116,0.9843298591961518,0.5024813895781638,0.08695652173913043,0.07692307692307693,0.16939813540920048
34,0.09585771223237692,1.0,0.9007633587786259,1.0,0.05627193488647403,0.9815960299244243,0.5121588089330025,0.045454545454545456,0.038461538461538464,0.1641440869876557
35,0.08930070323533122,1.0,0.9182879377431906,1.0,0.05159175011805266,0.9835693941590535,0.5285359801488834,0.0,0.0,0.1583185683480507
36,0.08075941209774794,1.0,0.944,1.0,0.045677134044969064,0.9964164758914084,0.5114143920595533,0.0,0.0,0.1539629700063075
37,0.06814827835968,1.0,0.959349593495935,1.0,0.03706109449074839,1.0075671942853137,0.5158808933002481,0.0,0.0,0.14725039834855647
38,0.061932631012892356,1.0,0.963265306122449,1.0,0.033883696703893455,1.0152200526295445,0.5143920595533498,0.0,0.0,0.14562331586003682
39,0.05784139912377564,1.0,0.959349593495935,1.0,0.03167553405273259,1.0198406343302016,0.5166253101736973,0.0,0.0,0.1434114076888644
40,0.05809162466081987,1.0,0.963265306122449,1.0,0.03184719165643202,1.0209398566030008,0.5220843672456575,0.0,0.0,0.14197458248788827
41,0.0542769816604035,1.0,0.9711934156378601,1.0,0.02896131320653553,1.0291027120463756,0.5302729528535981,0.0,0.0,0.13979571704185834
42,0.05526423262962203,1.0,0.9672131147540983,1.0,0.029899178063721943,1.0308250860614672,0.5287841191066998,0.0,0.0,0.14056975819093973
43,0.05258427004394734,1.0,0.9711934156378601,1.0,0.028460487727179243,1.0322651896028887,0.5161290322580645,0.0,0.0,0.14083352729300486
44,0.051476550214828255,1.0,0.9711934156378601,1.0,0.027840708945233543,1.030987960857581,0.5121588089330025,0.0,0.0,0.14026171187692185
45,0.048415184377251716,1.0,0.9711934156378601,1.0,0.02581529742855618,1.0346306931248028,0.5163771712158809,0.0,0.0,0.13853860039406957
46,0.04534087311630407,1.0,0.9752066115702479,1.0,0.02386761192802822,1.0411777667577755,0.5163771712158809,0.0,0.0,0.13745122970796556
47,0.04242182548521823,1.0,0.9752066115702479,1.0,0.022301536590312056,1.0494392939035404,0.5151364764267989,0.0,0.0,0.13656328496801426
48,0.04117651404691981,1.0,0.9752066115702479,1.0,0.021732882337408003,1.0529727112522442,0.5238213399503723,0.0,0.0,0.13635831947492894
49,0.0397930161053273,1.0,0.9752066115702479,1.0,0.021107838943982375,1.0586198028279932,0.5253101736972705,0.0,0.0,0.13606827199435426
50,0.04079589743382674,1.0,0.9752066115702479,1.0,0.022014629142824815,1.0560126291454168,0.5213399503722085,0.0,0.0,0.13652937711858518
51,0.04081629734781022,1.0,0.9752066115702479,1.0,0.022327733287183852,1.055942824532314,0.5215880893300248,0.0,0.0,0.13648772799028175
52,0.03978177493409536,1.0,0.9752066115702479,1.0,0.021871477501610635,1.063531845314068,0.5146401985111663,0.0,0.0,0.13608913961361616
53,0.03854959264151321,1.0,0.9711934156378601,1.0,0.021354053085019382,1.0657913625569633,0.5116625310173697,0.0,0.0,0.13594003337550342
54,0.03716218470647456,1.0,0.9711934156378601,1.0,0.02033376677017534,1.0662706484452138,0.5121588089330025,0.0,0.0,0.1353190659989132
55,0.03749383277883214,1.0,0.9752066115702479,1.0,0.020400356229310142,1.0650708991519653,0.5119106699751862,0.0,0.0,0.1355900184372849
56,0.03627810636458318,1.0,0.9752066115702479,1.0,0.019784310831873334,1.0673842384011707,0.5114143920595533,0.0,0.0,0.13576099762374808
57,0.036016474643979474,1.0,0.9752066115702479,1.0,0.01991188522995072,1.0718257367940238,0.5094292803970223,0.0,0.0,0.13579345185651023
58,0.03529153321787205,1.0,0.9752066115702479,1.0,0.019530169878390975,1.0755516995382572,0.5109181141439205,0.0,0.0,0.13532422000460256
59,0.03318102328808277,1.0,0.9752066115702479,1.0,0.018218376615350026,1.081473535595678,0.5131513647642679,0.0,0.0,0.13427712662243912
60,0.03265457358013359,1.0,0.9752066115702479,1.0,0.018116083955938046,1.0837399096778744,0.5141439205955336,0.0,0.0,0.13394763056615103
61,0.0325033679921202,1.0,0.9752066115702479,1.0,0.018386541422485612,1.0833340507844536,0.513151364764268,0.0,0.0,0.13406226254127307
62,0.03217655805147384,1.0,0.9752066115702479,1.0,0.018123640487665498,1.0879637813041223,0.5099255583126551,0.0,0.0,0.13401576109411248
63,0.031309018199636635,1.0,0.9752066115702479,1.0,0.017696868246572225,1.0935005720149087,0.5074441687344914,0.0,0.0,0.13403256716933393
64,0.03067881701054511,1.0,0.9752066115702479,1.0,0.017322673885318968,1.0932757413189713,0.5129032258064516,0.0,0.0,0.13382946991918465
65,0.030515773059116343,1.0,0.9752066115702479,1.0,0.017170289941886702,1.0919615234459303,0.5176178660049626,0.0,0.0,0.1335699961245624
66,0.030030154362496828,1.0,0.9752066115702479,1.0,0.01684360100087948,1.0937689358358225,0.5178660049627792,0.0,0.0,0.13343161789056335
67,0.030287159897096745,1.0,0.9752066115702479,1.0,0.017075908276116807,1.0923082150148424,0.5158808933002481,0.0,0.0,0.13368877758836703
68,0.030384435675765577,1.0,0.9752066115702479,1.0,0.017076859185800833,1.0916337683714556,0.5161290322580645,0.0,0.0,0.13366668631665518
69,0.03003437412680603,1.0,0.9752066115702479,1.0,0.016769960260460192,1.0920285519974007,0.5143920595533499,0.0,0.0,0.13361498662148266
70,0.02976126151891709,1.0,0.9752066115702479,1.0,0.016618954310081712,1.0942553143474938,0.5148883374689827,0.0,0.0,0.13343691656711248
71,0.02842332240207277,1.0,0.9833333333333333,1.0,0.01576026898160188,1.099291121103487,0.5143920595533499,0.0,0.0,0.1330646517239312
72,0.028151693356959006,1.0,0.9833333333333333,1.0,0.015624489689097566,1.0998438115936617,0.51712158808933,0.0,0.0,0.13286807236036136
73,0.028309816230691027,1.0,0.9752066115702479,1.0,0.015824473137362464,1.0988000782813816,0.5161290322580645,0.0,0.0,0.133088137628452
74,0.02738975830719209,1.0,0.979253112033195,1.0,0.015445882725004764,1.1028032882437522,0.5156327543424317,0.0,0.0,0.13294834221140378
75,0.02724514799819294,1.0,0.979253112033195,1.0,0.015504542586753827,1.1036760240628574,0.5141439205955335,0.0,0.0,0.1330754435920053
76,0.027960011832319297,1.0,0.979253112033195,1.0,0.01600632428819564,1.1003792397883716,0.5156327543424317,0.0,0.0,0.13313572589257636
77,0.027346540660264217,1.0,0.979253112033195,1.0,0.015582881185407732,1.1024724133106885,0.513151364764268,0.0,0.0,0.13295494389643425
78,0.027397660272462026,1.0,0.979253112033195,1.0,0.0156396637081078,1.1024455978066883,0.5138957816377171,0.0,0.0,0.13296172168933634
79,0.026737957946525132,1.0,0.979253112033195,1.0,0.015262884945103701,1.1052668865214395,0.5129032258064516,0.0,0.0,0.13286021728742112
80,0.026279862583070607,1.0,0.979253112033195,1.0,0.014878695853412076,1.107548971861107,0.5114143920595534,0.0,0.0,0.13277862849178826
81,0.026046053309613727,1.0,0.979253112033195,1.0,0.014707564103480735,1.1082155658395252,0.5094292803970224,0.0,0.0,0.13276521852171352
82,0.025598503957110004,1.0,0.979253112033195,1.0,0.014452402019027939,1.10900009995666,0.5086848635235732,0.0,0.0,0.13277182475541477
83,0.026103324510834434,1.0,0.979253112033195,1.0,0.014736428363468206,1.1055099970727995,0.5099255583126551,0.0,0.0,0.13279839188687145
84,0.025931997888819384,1.0,0.979253112033195,1.0,0.014693979461018586,1.1074446564879865,0.5104218362282879,0.0,0.0,0.13281542619807088
85,0.025662441618098417,1.0,0.979253112033195,1.0,0.014520372309662091,1.10835517901742,0.5084367245657568,0.0,0.0,0.1328515250735796
86,0.02555292890293891,1.0,0.979253112033195,1.0,0.014503369781719126,1.1099746075782986,0.5076923076923077,0.0,0.0,0.13289127387588281
87,0.025117215186955654,1.0,0.979253112033195,1.0,0.014256844821354019,1.1114351690144828,0.5074441687344913,0.0,0.0,0.1327745961052945
88,0.025381899530061442,1.0,0.979253112033195,1.0,0.014345585277306545,1.1084715279426365,0.5076923076923077,0.0,0.0,0.13280501477265116
89,0.0256450480881555,1.0,0.979253112033195,1.0,0.014601157353736436,1.1093783134913575,0.5079404466501241,0.0,0.0,0.1328211149791552
90,0.025449878231588192,1.0,0.979253112033195,1.0,0.014470897135073811,1.1096793538299055,0.5081885856079404,0.0,0.0,0.13274804390995648
91,0.025405644196159302,1.0,0.979253112033195,1.0,0.014446776044001419,1.110157983737756,0.5079404466501241,0.0,0.0,0.13274324808426147
92,0.02514194692523519,1.0,0.979253112033195,1.0,0.014247520249103893,1.11097325014146,0.5084367245657568,0.0,0.0,0.1326931426082412
93,0.02530201667877972,1.0,0.979253112033195,1.0,0.014462951168168684,1.1112360308842106,0.5081885856079404,0.0,0.0,0.132778555976257
94,0.025482283705029606,1.0,0.979253112033195,1.0,0.01456274198721343,1.1096344514446363,0.5089330024813895,0.0,0.0,0.13279835671252985
95,0.025421900333838874,1.0,0.979253112033195,1.0,0.014523167919531123,1.1098988754314612,0.5086848635235732,0.0,0.0,0.13278107393251912
96,0.025383720002901313,1.0,0.979253112033195,1.0,0.0145180185125535,1.1094935796537453,0.5091811414392059,0.0,0.0,0.13280987032895442
97,0.024933302031726595,1.0,0.979253112033195,1.0,0.014243832668439451,1.1129916036985197,0.5079404466501241,0.0,0.0,0.13275118751508164
98,0.02520320971563476,1.0,0.979253112033195,1.0,0.01437755391602753,1.1112995246497308,0.5084367245657568,0.0,0.0,0.1328225591443314
99,0.025342981699401117,1.0,0.979253112033195,1.0,0.014535548430216432,1.1111329570001,0.5089330024813896,0.0,0.0,0.13282054496472395
100,0.02517261504555185,1.0,0.979253112033195,1.0,0.01440811789206093,1.1118936565040884,0.5081885856079404,0.0,0.0,0.13277519856491402
